"id","awnd","date","mflag","qflag","sflag"
"USW00023190",9,2025-01-01," "," ","W"
"USW00023190",6,2025-01-02," "," ","W"
"USW00023190",17,2025-01-03," "," ","W"
"USW00023190",21,2025-01-04," "," ","W"
"USW00023190",15,2025-01-05," "," ","W"
"USW00023190",18,2025-01-06," "," ","W"
"USW00023190",37,2025-01-07," "," ","W"
"USW00023190",23,2025-01-08," "," ","W"
"USW00023190",13,2025-01-09," "," ","W"
"USW00023190",18,2025-01-10," "," ","W"
"USW00023190",20,2025-01-11," "," ","W"
"USW00023190",13,2025-01-12," "," ","W"
"USW00023190",18,2025-01-13," "," ","W"
"USW00023190",16,2025-01-14," "," ","W"
"USW00023190",13,2025-01-15," "," ","W"
"USW00023190",20,2025-01-16," "," ","W"
"USW00023190",15,2025-01-17," "," ","W"
"USW00023190",14,2025-01-18," "," ","W"
"USW00023190",11,2025-01-19," "," ","W"
"USW00023190",12,2025-01-20," "," ","W"
"USW00023190",13,2025-01-21," "," ","W"
"USW00023190",10,2025-01-22," "," ","W"
"USW00023190",11,2025-01-23," "," ","W"
"USW00023190",12,2025-01-24," "," ","W"
"USW00023190",18,2025-01-25," "," ","W"
"USW00023190",26,2025-01-26," "," ","W"
"USW00023190",13,2025-01-27," "," ","W"
"USW00023190",22,2025-01-28," "," ","W"
"USW00023190",15,2025-01-29," "," ","W"
"USW00023190",14,2025-01-30," "," ","W"
"USW00023190",12,2025-01-31," "," ","W"
